time,x,y,z
15.204,0.07375386855698544,9.784688271367242e-06,-0.0010019020996676828
15.237,0.07704970312121465,9.95942415899849e-06,-0.0010018511289422334
15.27,0.0803460478416836,1.0134497306458317e-05,-0.001001810294292832
15.304,0.08374284712647799,1.0322320993496181e-05,-0.0010017776960152963
15.337,0.08704030342800843,1.0512477738861426e-05,-0.001001746427947127
15.37,0.09033832561814885,1.0711100531602807e-05,-0.0010017232953092557
15.404,0.09373688733715099,1.092474773521864e-05,-0.0010017087530320885
15.437,0.09703608762617327,1.113861726016473e-05,-0.0010016990387837245
15.47,0.10033588556087447,1.1357749420448053e-05,-0.0010016971374052393
15.504,0.10373631897839752,1.160545095397409e-05,-0.0010017050682497725
15.537,0.10703738213561897,1.1882569268218054e-05,-0.0010017230935905654
15.57,0.1103390851204553,1.2159011964539968e-05,-0.0010017475904668775
15.604,0.11374151598566039,1.2436514911605454e-05,-0.001001782501612869
15.637,0.11704453916305305,1.2691891888043748e-05,-0.0010018234406721956
15.67,0.12034821959174921,1.292652284009997e-05,-0.0010018682689775932
15.704,0.12375268466127938,1.3140995492868163e-05,-0.0010019265522667638
15.737,0.12705763770550832,1.3318041866344537e-05,-0.0010019968272078246
15.77,0.13036305890410096,1.3460094051606279e-05,-0.0010020774896880441
15.804,0.13376853176047862,1.3566134351508212e-05,-0.0010021442619155413
15.837,0.13707334508890884,1.3641486288731895e-05,-0.0010022033244482496
15.87,0.1403774439967666,1.3697764285908923e-05,-0.0010022628261346506
15.904,0.14378064320113493,1.3753695580568108e-05,-0.0010023289485181254
15.937,0.14708225318472665,1.382032054895427e-05,-0.0010024126297704175
15.97,0.15037987377103446,1.3764604268035705e-05,-0.0010025630401490383
16.004,0.15375366224051992,1.300916741284359e-05,-0.0010024057472784592
16.037,0.15699694056312755,1.3778663473002081e-05,-0.0010013634037020491
16.07,0.16028981600802616,1.3861948424039188e-05,-0.0010023936344222203
16.104,0.16368499107485374,1.4021983972544445e-05,-0.0010021733947828335
16.137,0.1669803523845088,1.4188213408692418e-05,-0.0010020618150322312
16.17,0.17027549445052179,1.4333211379435846e-05,-0.0010020256698108597
16.204,0.17367031536559244,1.4442612012476683e-05,-0.001001971468480408
16.238,0.1769656399743483,1.4584049378664475e-05,-0.0010019086472830077
16.27,0.18026142645386387,1.4721064569264903e-05,-0.0010018573768059355
16.304,0.18365761664655136,1.4850033260950316e-05,-0.0010018145812276356
16.337,0.18695446519347841,1.4977842772534503e-05,-0.0010017822169918929
16.37,0.19025186680837827,1.5110586075256615e-05,-0.0010017508346172425
16.404,0.19364978000557784,1.5253226160843e-05,-0.0010017261668368478
16.437,0.19694833447232732,1.5397718552516182e-05,-0.00100171120350704
16.47,0.20024747561654907,1.5546125145849514e-05,-0.0010017010064380279
16.504,0.20364721307109598,1.57023007705616e-05,-0.0010016985002733285
16.537,0.20694757560214722,1.5854798063934878e-05,-0.001001704237498919
16.57,0.21024856554794402,1.6044269429861736e-05,-0.001001720766708833
16.604,0.21365025442457997,1.625211178322079e-05,-0.0010017451981126045
16.637,0.21695254940452305,1.6447363399291443e-05,-0.0010017781350007242
16.67,0.22025549719287602,1.6629646683775597e-05,-0.0010018189161330356
16.704,0.2236592227036811,1.6796408282145695e-05,-0.0010018641158392912
16.737,0.22696349393862578,1.6932343379266657e-05,-0.001001919471495312
16.77,0.23026838032353406,1.7038009247802257e-05,-0.0010019881105663014
16.804,0.23367393543535,1.711110895754447e-05,-0.0010020710486573804
16.837,0.23697928318565598,1.7142153421059165e-05,-0.0010021374916932071
16.87,0.24028416365277525,1.7145227405004972e-05,-0.0010021966605622823
16.904,0.24368846830209914,1.7127612715647754e-05,-0.0010022577881699697
16.937,0.24699168715164777,1.7111726451181846e-05,-0.001002321146966953
16.97,0.2502935188275662,1.711022010792952e-05,-0.0010024012464806657
17.004,0.25369179248795715,1.6983020885008173e-05,-0.0010025465521997443
17.037,0.25697053514672763,1.6050609920237522e-05,-0.0010025129005489866
17.07,0.2602130695612933,1.6750555545089512e-05,-0.0010013436597866888
17.104,0.26359836063093306,1.686810170375285e-05,-0.0010022619854568107
17.137,0.2668946915896082,1.6903393539494196e-05,-0.001002140672065912
17.17,0.2701904365676542,1.6949698380431668e-05,-0.001002081152113827
17.204,0.2735854524057254,1.694016686333241e-05,-0.0010020287982333252
17.237,0.2768804117364179,1.6939831841193002e-05,-0.0010019784325516513
17.27,0.2801756907918711,1.6976930756437145e-05,-0.0010019152032617225
17.304,0.2835713058322085,1.7030390297113623e-05,-0.0010018620839021553
17.337,0.2868675750663767,1.7066419142199005e-05,-0.0010018210337278642
17.37,0.2901643823573871,1.7087388476991197e-05,-0.0010017880887095432
17.404,0.2935616699243297,1.7106410943747068e-05,-0.001001755581777647
17.437,0.2968596084412686,1.7124601168608987e-05,-0.0010017308780574594
17.47,0.3001581162450765,1.714302234527718e-05,-0.0010017147528358084
17.504,0.3035571917563787,1.716036173465521e-05,-0.001001704158531378
17.537,0.3068568953948945,1.7174928492932196e-05,-0.001001701212298381
